"Empresa","NIPC","Estatuto","Estado_Empresa","Tipo_Empresa","Capital_Social","Data_Registro","CAE","Area_de_atividade","Localizacao","Morada","Codigo_Postal","Email","Telemovel","Website","SEO"
"Revex Technologies, Unipessoal Lda","518742024","StartUp","Active","LDA","1001.00€","25/08/2022","62900","Outras atividades de serviços relacionados com as tecnologias da informação e informática","Lisboa,Oeiras,São Domingos de Benfica","Rua Nova do Til, N.º 17-A","9050-052","Não Fornecido","Não Fornecido","Não Fornecido","lx-launch-lda"
"Fossa Systems Portugal, Lda","518634671","StartUp","Active","LDA","100.00€","13/10/2021","63910","Atividades de portais de pesquisa Web","Coimbra,Coimbra,Barosa","Largo Curso Silva Monteiro, 38, Habitação 31","4150-800","Não Fornecido","Não Fornecido","Não Fornecido","magic-pot-lda"
"Sensiperception, Lda","516239538","StartUp","Active","UNI","15000.00€","09/04/2024","71110","Atividades de arquitetura","Lisboa,Lisboa,Santo António dos Olivais","Incubadora Instituto Pedro Nunes, Edifício C","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","our-watch-leads-owl-lda"
"Definedcrowd Corporation Unipessoal Lda","515177652","StartUp","Active","SA","204906.00€","06/01/2021","71110","Atividades de arquitetura","Leiria,Leiria,São Salvador","Rua Arquitecto Lobão Vital, Nº 172 Bairro Novo de Paranhos","4200-374","Não Fornecido","Não Fornecido","Não Fornecido","flowco-lda"
"Smartmonitoring - Active, Healthy And Happy Aging, S.a","516011987","StartUp","Active","LDA","100.00€","26/11/2019","71120","Atividades de engenharia e técnicas afins","Aveiro,Ílhavo,Ramalde","Rua Pedro Nunes, Incubadora de Empresas do Instituto Pedro Nunes, Edifício C","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","sciven-desenvolvimento-e-exploracao-de-sistemas-de-energia-lda"
"Nevarotech , Lda","516561340","StartUp","Active","UNI","1612.68€","16/08/2023","71120","Atividades de engenharia e técnicas afins","Aveiro,Ílhavo,São Salvador","Adfma - Associação Para O Desenvolvimento e Formação do Mar dos Açores, Complexo... - Cont. Insc. 6","9900-038","Não Fornecido","Não Fornecido","Não Fornecido","blue-ocean-sustainable-solutions-s-a"
"Skillaugment, Unipessoal Lda","517207214","StartUp","Active","UNI","1000000.00€","02/08/2022","71120","Atividades de engenharia e técnicas afins","Porto,Porto,São Salvador","Rua da Criatividade, Edifícios Centrais, Sala 3, Parque Tecnológico de Óbidos","2510-216","Não Fornecido","Não Fornecido","Não Fornecido","ideias-contiguas-lda"
"Smartex Europe, Unipessoal Lda","516239570","StartUp","Active","LDA","100.00€","07/11/2022","71120","Atividades de engenharia e técnicas afins","Aveiro,Ílhavo,São Domingos de Rana","Startup Madeira-Ev 153, Campus da Penteada","9020-105","Não Fornecido","Não Fornecido","Não Fornecido","ast-automotive-services-technologies-lda"
"Energynetiq, Lda","517495058","StartUp","Active","LDA","100.00€","01/03/2016","71120","Atividades de engenharia e técnicas afins","Aveiro,Ílhavo,Ramalde","Adfma - Complexo da Ex-Estação Rádio Naval da Horta, Rua Jaime Lopes (Feijó)","9900-038","Não Fornecido","Não Fornecido","Não Fornecido","hydrotwin-smart-acoustic-solutions-unipessoal-lda"
"Cellularis Biomodels, Lda","514772794","StartUp","Active","LDA","500.00€","29/01/2019","71120","Atividades de engenharia e técnicas afins","Lisboa,Cascais,Fafe","Avenida da Liberdade, S/N, Uptec, Polo do Mar, Sala A1, Leça da Palmeira","4450-718","Não Fornecido","Não Fornecido","Não Fornecido","eptune-engineering-lda"
"Soulution Insights Lda","516037463","StartUp","Active","SA","60000.04€","17/06/2020","71120","Atividades de engenharia e técnicas afins","Porto,Porto,Leça da Palmeira","Rua dos Inventores, Madan Parque, Sala 1.06, Monte de Caparica","2825-182","Não Fornecido","Não Fornecido","Não Fornecido","cough-monitoring-medical-solutions-s-a"
"Inductiva Research Labs, S.a","517326647","StartUp","Active","UNI","1000.00€","24/12/2023","71120","Atividades de engenharia e técnicas afins","Braga,Fafe,Santo António de Cavaleiros","Ipn, Edifício C, Rua Pedro Nunes","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","simplyconnected-lda"
"Haxify, Unipessoal Lda","514262656","StartUp","Active","SA","86118.52€","16/08/2024","71120","Atividades de engenharia e técnicas afins","Porto,Matosinhos,Santo Estevão","Rua Pedro Nunes, Edificio D","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","smartmonitoring-active-healthy-and-happy-aging-s-a"
"Evio - Electrical Mobility, S.a","518518094","StartUp","Active","UNI","21000.00€","30/07/2024","71120","Atividades de engenharia e técnicas afins","Lisboa,Loures,São Pedro","Rua da Igreja Desfeita, N.º 97. 2º Dto São Félix da Marinha","4410-499","Não Fornecido","Não Fornecido","Não Fornecido","aql-engineering-lda"
"Ricardo Baião - Unipessoal Lda","518108201","StartUp","Active","LDA","105.00€","19/08/2019","71120","Atividades de engenharia e técnicas afins","Lisboa,Lisboa,São Salvador","Rua Padre Evaristo do Rosário Guerreiro, Nº 13-15, 1º Esq.","2100-195","Não Fornecido","Não Fornecido","Não Fornecido","prodigy-tech-innovations-unipessoal-lda"
"Paynest Portugal, Lda","513965360","StartUp","Active","SA","50007.00€","26/04/2018","71120","Atividades de engenharia e técnicas afins","Açores,Ponta Delgada,São Felix da Marinha","Centro de Empresas Dna Cascais, Cruz da Popa, Sala 28","2645-449","Não Fornecido","Não Fornecido","Não Fornecido","leitek-innovative-solutions-unipessoal-lda"
"Gazelle Wind Power Portugal, S.a","514495820","StartUp","Active","SA","64283.00€","13/11/2013","71120","Atividades de engenharia e técnicas afins","Aveiro,Ílhavo,Alfragide","Ipn - Rua Pedro Nunes - Edificio C","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","teromovigo-earth-innovation-lda"
"Visor.ai Portugal, S.a","515618136","StartUp","Active","UNI","5000.00€","24/06/2024","71120","Atividades de engenharia e técnicas afins","Porto,Vila Nova de Gaia,Cedofeita","Rua do Alportel, N.º 176, 1º C","8000-291","Não Fornecido","Não Fornecido","Não Fornecido","luis-m-sousa-claudio-sousa-lda"
"Nemobile Applications Worldwide, Unipessoal Lda","515322970","StartUp","Active","LDA","1245.70€","31/10/2022","71120","Atividades de engenharia e técnicas afins","Lisboa,Amadora,São Paio Merelim","Startup Madeira - Campus da Penteada","9020-105","Não Fornecido","Não Fornecido","Não Fornecido","intellibuild-digitalizacao-de-edificios-lda"
"Dualtech, Lda","514826800","StartUp","Active","LDA","300.00€","14/08/2024","71120","Atividades de engenharia e técnicas afins","Porto,Porto,Trafaria","Centro de Negócios da Aip-Cci, Piso 2, Sala 19/20, Praça das Indústrias","1300-307","Não Fornecido","Não Fornecido","Não Fornecido","jf-digital-energy-lda"
"Weiver - Lda","517960460","StartUp","Active","LDA","120.00€","28/06/2018","72200","Investigação e desenvolvimento das ciências sociais e humanas","Braga,Braga,Alcabideche","Estrada Municipal 506, Ubimedical, S/N","6200-284","Não Fornecido","Não Fornecido","Não Fornecido","nomadengenuity-unipessoal-lda"
"Momentaominuto - Lda","514422793","StartUp","Active","LDA","11000.00€","19/10/2023","72200","Investigação e desenvolvimento das ciências sociais e humanas","Setúbal,Almada,Leça da Palmeira","Rua Pedro Nunes, Bloco C, Instituto Pedro Nunes","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","aethra-s-a"
"Safetyscope, Lda","516849573","StartUp","Active","LDA","770.00€","22/05/2010","73110","Atividades das agências de publicidade","Lisboa,Cascais,São Salvador","Ninho de Empresas Dna Cascais, Cruz da Popa","2645-449","Não Fornecido","Não Fornecido","Não Fornecido","drivenly-unipessoal-lda"
"Douglas & Santos, Lda","513889213","StartUp","Active","LDA","1500.00€","23/08/2024","73110","Atividades das agências de publicidade","Porto,Matosinhos,Paranhos","Pci, Creative Science Park Aveiro Region, Via do Conhecimento","3830-352","Não Fornecido","Não Fornecido","Não Fornecido","visor-ai-portugal-s-a"
"Machine Wise, Lda","517973910","StartUp","Active","LDA","57937.43€","20/11/2023","73110","Atividades das agências de publicidade","Aveiro,Ílhavo,Vera Cruz","Rua A Gazeta D oeiras, Nº 2, 1 C","2780-171","Não Fornecido","Não Fornecido","Não Fornecido","fcruz-strategy-consulting-unipessoal-lda"
"Metatissue - Biosolutions, Lda","513965556","StartUp","Active","SA","900.00€","21/04/2023","73200","Estudos de mercado e sondagens de opinião","Porto,Porto,São Domingos de Rana","Startup Braga, Edificio Gnration, Praça Conde Agrolongo, Nº.123","4700-312","Não Fornecido","Não Fornecido","Não Fornecido","mindprober-s-a"
"Code For All, S.a","518769860","StartUp","Active","LDA","5000.00€","28/03/2024","74910","Atividades de serviços de comercialização e corretagem de patentes","Aveiro,Aveiro,Alvalade","Rua Pedro Nunes, Edificio C, Alto de São João","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","aminhaterra-lda"
"Visionary Wolf - Lda","513770267","StartUp","Active","UNI","50750.13€","28/05/2024","74992","Outras atividades de consultoria, cientificas, técnicas e similares, diversas, n.e., exceto agentes de profissionais desportivos","Lisboa,Cascais,Trafaria","Av. Emidio Navarro, Nº 83","3000-151","Não Fornecido","Não Fornecido","Não Fornecido","tuu-building-design-management-s-a"
"Pensática, Unipessoal Lda","516607812","StartUp","Active","SA","266.67€","01/02/2023","78100","Atividades das empresas de seleção e colocação de pessoal","Lisboa,Lisboa,São Jorge de Arroios","Avenida António Augusto Aguiar, 122","1050-019","Não Fornecido","Não Fornecido","Não Fornecido","itrtech-consultoria-e-tecnologia-lda"
"Pollen, S.a","517168332","StartUp","Active","LDA","600.00€","27/05/2022","78100","Atividades das empresas de seleção e colocação de pessoal","Setúbal,Almada,Fornos","Avenida do Bessa, Nº 191, 13 Ep","4100-410","Não Fornecido","Não Fornecido","Não Fornecido","universal-linker-lda"
"Des Solutio - Soluções e Consultoria Científica, Lda","513590234","StartUp","Active","LDA","91000.00€","05/01/2024","79900","Outros serviços de reservas e atividades relacionadas","Lisboa,Lisboa,Terra Chã","Instituto Pedro Nunes, Rua Pedro Nunes","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","youship-unipessoal-lda"
"Testwaves, Lda","516246186","StartUp","Active","LDA","5000.00€","17/12/2020","79900","Outros serviços de reservas e atividades relacionadas","Porto,Marco de Canaveses,Santo Estevão","Cais Rocha Conde D'óbidos, Edifício Lacs","1350-352","Não Fornecido","Não Fornecido","Não Fornecido","zmteurope-s-a"
"Casas Em Movimento Lda","514626909","StartUp","Active","LDA","5000.00€","31/08/2021","79900","Outros serviços de reservas e atividades relacionadas","Açores,Angra do Heroísmo,Campo de Besteiros","Travessa do Serrado Nº 6","9060-299","info@greeneract.com","937 970 229","www.greeneract.com","greener-act-lda"
"Imadeabug, Lda","517731762","StartUp","Active","LDA","10000.00€","18/05/2023","81100","Atividades combinadas de apoio aos edifícios","Lisboa,Lisboa,Cascais","Travessa do Cavaco, 26","7000-681","Não Fornecido","Não Fornecido","Não Fornecido","condoroo-ai-gestao-de-edificios-unipessoal-lda"
"Trendy Harmony - Lda","516116681","StartUp","Active","UNI","1000.00€","08/01/2020","82300","Organização de feiras, congressos e similares","Viseu,Tondela,Lousã","Rua Elísio de Melo, 41, 2º Andar","4000-196","Não Fornecido","Não Fornecido","Não Fornecido","thu-s-a"
"Vectortribute Unipessoal Lda","516861450","StartUp","Active","UNI","90.00€","27/11/2020","84250","Atividades de proteção civil","Lisboa,Cascais,Alto do Seixalinho","Urbanização Vila Pavão","4540-322","Não Fornecido","Não Fornecido","Não Fornecido","hephaesnus-lda"
"Comudel, Unipessoal Lda","517869993","StartUp","Active","LDA","25000.00€","19/02/2018","86100","Atividades dos estabelecimentos de saúde com internamento","Setúbal,Barreiro,Santo Estevão","Rua Penha de França, Nº 230-D - 3º A","1170-309","Não Fornecido","Não Fornecido","Não Fornecido","epopeia-matinal-unipessoal-lda"
"Luna & Rodrigues, Lda","517838010","StartUp","Active","UNI","100.00€","20/10/2023","88101","Atividades de ação social para pessoas idosas, sem alojamento","Lisboa,Lisboa,Santos-o-Velho","Avenida do Conde, 5718, 4 Dto","4465-093","Não Fornecido","Não Fornecido","Não Fornecido","hubicare-lda"
"Microharvest, Unipessoal Lda","515665282","StartUp","Active","LDA","848342.71€","05/08/2020","93120","Atividades dos clubes desportivos","Lisboa,Lisboa,Cruz Quebrada-Dafundo","Rua da Prata, Nº 80, 1º","1100-420","Não Fornecido","Não Fornecido","Não Fornecido","plantel-protagonista-s-a"
"Agro Smart Contracts, Lda","517859173","StartUp","Active","SA","610200.00€","19/04/2023","93130","Atividades dos centros de manutenção física","Lisboa,Lisboa,Buarcos","Rua de Penouços, Nº 58","4715-222","Não Fornecido","Não Fornecido","Não Fornecido","bms-lda"
"Zmteurope, S.a","515724637","StartUp","Active","SA","7000.00€","09/01/2023","93130","Atividades dos centros de manutenção física","Lisboa,Oeiras,São Jorge de Arroios","Rua de Carvalha, Nº 570","2400-441","Não Fornecido","Não Fornecido","Não Fornecido","bht-unipessoal-lda"
"Socialtalk, S.a","517993058","StartUp","Active","LDA","500.00€","16/02/2018","70220","Outras actividades de consultoria para os negócios e a gestão","Coimbra,Figueira da Foz,São Felix da Marinha","Rua dos Açores, Nº 44, 3º Dtº","2830-078","Não Fornecido","Não Fornecido","Não Fornecido","trustful-journey-lda"
"Tirosac Consulting & Technical Activities, Lda","514283734","StartUp","Active","LDA","10000.00€","17/05/2021","70220","Outras actividades de consultoria para os negócios e a gestão","Lisboa,Lisboa,Horta das Figueiras","Avenida da Republica, N.º 50, 2","1050-196","Não Fornecido","Não Fornecido","Não Fornecido","haupper-lda"
"Bridgein, Lda","517697211","StartUp","Active","LDA","300.00€","16/11/2021","70220","Outras actividades de consultoria para os negócios e a gestão","Porto,Vila Nova de Gaia,Campo Grande","Rua Prata, N.º 80, Startup","1100-415","Não Fornecido","Não Fornecido","Não Fornecido","swarmcompute-unipessoal-lda"
"Intelligentretailsolutions - Soluções Tecnológicas Para O Retalho, Lda","517523183","StartUp","Active","LDA","92891.00€","31/05/2019","70220","Outras actividades de consultoria para os negócios e a gestão","Lisboa,Lisboa,São José","Rua do Comércio, Nº 6-D","2540-076","Não Fornecido","Não Fornecido","Não Fornecido","sfverse-lda"
"Clicktoconnect - Lda","518164861","StartUp","Active","SA","2000.00€","24/09/2020","70220","Outras actividades de consultoria para os negócios e a gestão","Évora,Évora,São Domingos de Rana","Avenida General Roçadas, Nº 66, 4 Esq","1170-164","Não Fornecido","Não Fornecido","Não Fornecido","ofir-labs-lda"
"Meight Technologies , S.a","516497731","StartUp","Active","UNI","1.00€","04/05/2020","70220","Outras actividades de consultoria para os negócios e a gestão","Lisboa,Lisboa,Santa Iria Ribeira Santarém","Rua Direita, N.º 22","3865-022","Não Fornecido","Não Fornecido","Não Fornecido","asi-agency-for-sponsorship-intelligence-lda"
"Janela Batalhadora Unipessoal Lda","515568287","StartUp","Active","UNI","500.00€","03/10/2019","70220","Outras actividades de consultoria para os negócios e a gestão","Lisboa,Lisboa,Santo Estevão","Rua da Sota, Nº 2 A, Piso 2","3000-392","Não Fornecido","Não Fornecido","Não Fornecido","brands-ninjas-lda"
"Stability Chapter, Unipessoal Lda","516305352","StartUp","Active","UNI","3000.00€","12/06/2015","63120","Portais Web","Lisboa,Cascais,Lomar","Rua de São Bento, 35","1250-047","Não Fornecido","Não Fornecido","Não Fornecido","bounce-unipessoal-lda"
"Resulta Inspiração - Unipessoal Lda","514404272","StartUp","Active","LDA","156692.79€","28/11/2023","63120","Portais Web","Santarém,Santarém,São Mamede de Infesta","Centro de Incubação e Aceleração de Portugal Global, Rua Paulo da Gama, Nº 629","4150-589","Não Fornecido","Não Fornecido","Não Fornecido","infinite-foundry-lda"
"Zumerlink, Lda","516584960","StartUp","Active","SA","1300.00€","20/12/2024","63120","Portais Web","Lisboa,Lisboa,Foz do Douro","Rua do Rio Torto, N.º 42","4300-534","Não Fornecido","Não Fornecido","Não Fornecido","intuitivo-unipessoal-lda"
"Power Dot, S.a","516526774","StartUp","Active","LDA","20000.00€","29/10/2024","63120","Portais Web","Braga,Braga,Cedofeita","Praça Marquês de Pombal, Nº 14","1250-162","Não Fornecido","Não Fornecido","Não Fornecido","exclusible-s-a"
"Miguel Freitas e Filho - Domótica e Eficiência Energética, Lda","514869062","StartUp","Active","LDA","71225.00€","25/10/2017","63120","Portais Web","Porto,Matosinhos,Santa Maria do Castelo","Rua Padre José Monteiro da Rocha, Nº 118","4440-819","Não Fornecido","Não Fornecido","Não Fornecido","wishes-and-sketches-unipessoal-lda"
"Xplr, S.a","517533260","StartUp","Active","SA","73500.00€","06/08/2024","63120","Portais Web","Porto,Porto,São José de São Lázaro","Rua das Corgas, Nº 205, Ribeira","3465-059","Não Fornecido","Não Fornecido","Não Fornecido","vectortribute-unipessoal-lda"
"Thu, S.a","515150517","StartUp","Active","SA","57310.32€","07/08/2024","63120","Portais Web","Setúbal,Alcácer do Sal,Santo António dos Olivais","Rua Fialho Gouveia, Nº 19, 2º Dtº","2785-055","Não Fornecido","Não Fornecido","Não Fornecido","cloudtrice-lda"
"Trypleez, S.a","516310771","StartUp","Active","SA","2654.20€","01/10/2024","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Lisboa,Lisboa,São Felix da Marinha","Rua Adriano Correia de Oliveira, Nº 4 A","1600-312","Não Fornecido","Não Fornecido","Não Fornecido","swatter-company-lda"
"Plantel Protagonista, S.a","514413735","StartUp","Active","LDA","1000.00€","15/02/2024","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Braga,Braga,Santa Maria Tavira","Rua Alfredo Allen 455","1050-012","Não Fornecido","Não Fornecido","Não Fornecido","probe-ly-solucoes-de-ciberseguranca-s-a"
"Magikbee, Lda","516856146","StartUp","Active","LDA","500.00€","31/01/2024","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Coimbra,Coimbra,Vila Verde","Rua Rua Pedro Nunes, Instituto Pedro Nunes, S/N","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","ethiack-s-a"
"Cometa Privilegiado - Lda","515362166","StartUp","Active","LDA","10000.00€","11/12/2024","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Porto,Vila Nova de Gaia,Alvalade","Avenida Fontes Pereira de Melo, 31, 5C","1050-117","Não Fornecido","Não Fornecido","Não Fornecido","daredata-s-a"
"Aql Engineering, Lda","516457217","StartUp","Active","UNI","5000.00€","04/01/2022","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Faro,Tavira,Trafaria","Instituto Pedro Nunes, Rua Pedro Nunes, S/N","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","stokedge-lda"
"Verdeheart, Unipessoal Lda","516925954","StartUp","Active","UNI","3000.00€","10/01/2025","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Braga,Vila Verde,São Felix da Marinha","Avenida Dom Afonso Henriques, 1825","4450-017","Não Fornecido","Não Fornecido","Não Fornecido","ayr-neutral-lda"
"Xpim - 3D Printing , Unipessoal Lda","517432927","StartUp","Active","LDA","1000.00€","10/02/2020","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Lisboa,Lisboa,Cascais","Travessa Senhor de Matosinhos, N.º 198, 1D","4400-305","Não Fornecido","Não Fornecido","Não Fornecido","adeci-s-a"
"Argumento Vigoroso Lda","517933616","StartUp","Active","LDA","100.00€","08/11/2018","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Setúbal,Almada,Alto do Seixalinho","Avenida Cottinelli Telmo, Nº 6, 3 Esq, Vila Chã","2700-781","Não Fornecido","Não Fornecido","Não Fornecido","opentelecom-consulting-for-telecoms-lda"
"Paperweight Ai Lda","517721759","StartUp","Active","UNI","2.00€","02/06/2023","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Porto,Vila Nova de Gaia,Algueirão-Mem Martins","Rua João Machado Polónia, N.º 34, 2.º C, Urbanização Varandas de Vale de Lobos","2410-539","Não Fornecido","Não Fornecido","Não Fornecido","dominio-urbano-lda"
"Gigglegenius - Unipessoal Lda","514575433","StartUp","Active","LDA","5000.00€","02/04/2024","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Lisboa,Cascais,Gulpilhares","Rua Pedro Nunes - Inst. Pedro Nunes - Incubadora C","3030-199","Não Fornecido","Não Fornecido","Não Fornecido","liminal-martech-integrated-services-unipessoal-lda"
"Bravelight Tecnologias , Lda","513671242","StartUp","Active","UNI","100.00€","13/06/2011","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Lisboa,Lisboa,São Cosme","Rua de São Bernardo, Nº 428 - 1º Esq.","3810-174","Não Fornecido","Não Fornecido","Não Fornecido","wenterprise-lda"
"Relocate Now Portugal, Unipessoal Lda","516149555","StartUp","Active","LDA","1000.00€","21/09/2022","62090","Outras actividades relacionadas com as tecnologias da informação e informática","Setúbal,Barreiro,Boidobra","Avª da República Nº 48º 2º Dtº","1050-195","Não Fornecido","Não Fornecido","Não Fornecido","volup-technologies-lda"
"Trustful Journey, Lda","516627546","StartUp","Active","UNI","5000.00€","13/05/2023","62020","Actividades de consultoria em informática","Lisboa,Sintra,São Domingos de Rana","Rua Eng. Adelino Amaro da Costa, 152","2775-148","Não Fornecido","Não Fornecido","Não Fornecido","ergpd-compliance-pt-solucoes-de-seguranca-e-protecao-de-dados-lda"
"Bytes Vadios - Unipessoal Lda","514416130","StartUp","Active","UNI","5000.00€","05/07/2023","62020","Actividades de consultoria em informática","Porto,Vila Nova de Gaia,Nossa Senhora da Conceição","Rua Alfredo Allen, Nº 455","4200-135","Não Fornecido","Não Fornecido","Não Fornecido","bandora-systems-s-a"
"Driven By Improvement, Unipessoal Lda","515465135","StartUp","Active","LDA","200.00€","24/11/2023","62020","Actividades de consultoria em informática","Porto,Gondomar,Fajarda","Avenida Duque de Loulé, Nº 72, 3º Andar","1050-091","Não Fornecido","Não Fornecido","Não Fornecido","merytucentric-s-a"
"Tilect, Lda","517904985","StartUp","Active","LDA","678.00€","16/04/2024","62020","Actividades de consultoria em informática","Castelo Branco,Covilhã,Ramalde","Campo Grande, Nº 28, 4º B","1700-093","Não Fornecido","Não Fornecido","Não Fornecido","quantumbridge-lda"
"Bedev - Programação, Consultadoria e Design de Aplicações Informáticas, Lda","517851660","StartUp","Active","LDA","5000.00€","01/06/2021","62020","Actividades de consultoria em informática","Lisboa,Cascais,Ramalde","Rua Antero Henriques da Silva, N.º 62, 3.º Dto","4810-026","Não Fornecido","Não Fornecido","Não Fornecido","thunder-report-unipessoal-lda"
"Cloudtrice, Lda","515871982","StartUp","Active","UNI","500.00€","30/01/2018","62020","Actividades de consultoria em informática","Vila Real,Vila Real,São José de São Lázaro","Avenida Tenente Valadim, Nº 17, 2º F","2560-275","Não Fornecido","Não Fornecido","Não Fornecido","aquainsilico-lda"
"Birdsystemfactor - Unipessoal Lda","515329398","StartUp","Active","UNI","351338.48€","06/11/2023","62020","Actividades de consultoria em informática","Santarém,Coruche,Santo António dos Olivais","Rua dos Marinheiros, Zona Industrial Cova das Faias, Lote 6, Nº 146, Marrazes","2415-314","Não Fornecido","Não Fornecido","Não Fornecido","tag-it-coding-experts-lda"
"Prodigy Tech Innovations, Unipessoal Lda","517227096","StartUp","Active","SA","1000.00€","19/02/2021","62020","Actividades de consultoria em informática","Porto,Porto,Queluz","Avenida Dom João II, Lote 1.07.2.1, Piso 0","1990-096","Não Fornecido","Não Fornecido","Não Fornecido","engibots-unipessoal-lda"
"Omniflow, S.a","516294890","StartUp","Active","LDA","10000.00€","08/02/2017","62020","Actividades de consultoria em informática","Porto,Porto,Horta das Figueiras","Rua de Godêlo, Nº 10 , Nogueira","4475-072","Não Fornecido","Não Fornecido","Não Fornecido","urban-motion-solucoes-informaticas-lda"
"Universal Linker, Lda","517613484","StartUp","Active","UNI","5001.00€","27/03/2024","62020","Actividades de consultoria em informática","Braga,Braga,São José de São Lázaro","Largo Heróis Naulila, NºS 16 e 17, Sala 07","2500-107","Não Fornecido","Não Fornecido","Não Fornecido","dataiont-s-a"
"Equação Perspicaz Unipessoal Lda","516243799","StartUp","Active","LDA","1000.00€","13/08/2021","62020","Actividades de consultoria em informática","Coimbra,Coimbra,Prazeres","Rua das Andresas, Nº 88, 3.5","4100-050","Não Fornecido","Não Fornecido","Não Fornecido","inductiva-research-labs-s-a"
"Timeup, Lda","515681890","StartUp","Active","LDA","1000.00€","07/03/2023","62020","Actividades de consultoria em informática","Lisboa,Sintra,Paranhos","Avenida Dom Afonso Henriques, N, º 1825","4450-017","Não Fornecido","Não Fornecido","Não Fornecido","evio-electrical-mobility-s-a"
"Quantumdata Strategy, Lda","517387425","StartUp","Active","LDA","5001.00€","11/04/2022","62020","Actividades de consultoria em informática","Évora,Évora,Santo António dos Olivais","Rua Pedro Álvares Cabral, Nº 2, 3º","2830-098","Não Fornecido","Não Fornecido","Não Fornecido","luna-rodrigues-lda"
"Vivin App, Lda","516620347","StartUp","Active","LDA","3002.00€","03/04/2024","62020","Actividades de consultoria em informática","Braga,Braga,São Domingos de Benfica","Rua do Tronco Nº 375","4465-275","Não Fornecido","Não Fornecido","Não Fornecido","cyberx-lda"
"Omniumai - Inteligência Artificial e Ciências de Dados, Lda","518108414","StartUp","Active","LDA","17628.00€","27/07/2022","62020","Actividades de consultoria em informática","Lisboa,Lisboa,Lumiar","Uptec - Rua Alfredo Allen, Nº 455/461","4200-135","Não Fornecido","Não Fornecido","Não Fornecido","ledovox-lda"
"Virtuleap, Lda","515653616","StartUp","Active","LDA","1178.82€","04/01/2016","62020","Actividades de consultoria em informática","Porto,Porto,Lousã","Av. António Augusto e Aguiar, Nº27, R/C","1050-013","Não Fornecido","Não Fornecido","Não Fornecido","starkdata-consultoria-e-servicos-lda"
"Oasisfactor, Lda","515063142","StartUp","Active","LDA","1000.00€","16/08/2024","62020","Actividades de consultoria em informática","Coimbra,Coimbra,Penha de França","Rua de Santa Justa, Nº 228G, 2.º Cep","4200-479","Não Fornecido","Não Fornecido","Não Fornecido","nilg-ai-lda"
"Actif Age, Lda","513796487","StartUp","Active","LDA","2.00€","24/05/2019","62020","Actividades de consultoria em informática","Lisboa,Lisboa,Canhoso","Rua Alfredo Allen, NºS 455/461","4200-135","Não Fornecido","Não Fornecido","Não Fornecido","invisible-cloud-investigacao-e-consultoria-informatica-lda"
"Haupper, Lda","514927275","StartUp","Active","LDA","52189.70€","27/11/2023","62020","Actividades de consultoria em informática","Lisboa,Lisboa,Paranhos","Avenida Manuel Violas, Nº 476 - Sala 17","4410-137","Não Fornecido","Não Fornecido","Não Fornecido","visual-thinking-digital-organization-lda"
"Shartt, Lda","515396010","StartUp","Active","SA","5000.00€","04/05/2018","62020","Actividades de consultoria em informática","Coimbra,Lousã,Santa Cruz","Pci Creative Science Park Aveiro Region, Via do Conhecimento, Edifício Central","3830-352","Não Fornecido","Não Fornecido","Não Fornecido","binary-eleven-technologies-lda"
"Insect Based Feed & Food, S.a","514519215","StartUp","Active","LDA","5000.00€","17/12/2021","62020","Actividades de consultoria em informática","Lisboa,Lisboa,Paranhos","Rua Alfredo Allen, 455/461, Ec 3.06","4200-135","Não Fornecido","Não Fornecido","Não Fornecido","tekprivacy-lda"
"Wisecare Technology Europe, Lda","517445573","StartUp","Active","LDA","10000.00€","06/09/2023","62020","Actividades de consultoria em informática","Castelo Branco,Covilhã,Fojo Lobal","Rua 25 de Abril, Nº 243, Entrada 4, 1º Dto","4740-398","Não Fornecido","Não Fornecido","Não Fornecido","bordata-unipessoal-lda"
"Upinc, Lda","515603732","StartUp","Active","LDA","2000.00€","02/06/2023","62010","Actividades de programação informática","Porto,Porto,Fraião","Terinov, Largo de Belém, S/N","9700-702","Não Fornecido","Não Fornecido","Não Fornecido","redcatpig-desenvolvimento-e-comercializacao-lda"
